CONV_VALCH1 (N),CONV_VALCH2 (N),CONV_VALCH3 (N),TIMESTAMP (us)
-3.7784,-5.7294,-5.2899,1680000,
-3.7793,-5.7358,-5.2917,1685000,
-3.7381,-5.7339,-5.2890,1690000,
-3.7189,-5.7440,-5.2881,1695000,
-3.7793,-5.7413,-5.2844,1700000,
-4.0073,-5.7202,-5.2908,1705000,
-3.7738,-5.7303,-5.2808,1710000,
-3.7573,-5.7541,-5.2927,1715000,
-3.7784,-5.7532,-5.2826,1720000,
-3.7958,-5.7184,-5.2972,1725000,
-3.7930,-5.7394,-5.2762,1730000,
-3.7592,-5.7559,-5.2890,1735000,
-3.7354,-5.7559,-5.2899,1740000,
-3.7317,-5.7275,-5.2917,1745000,
-3.7482,-5.7458,-5.2844,1750000,
-4.0311,-5.7147,-5.2982,1755000,
-3.7271,-5.7367,-5.2963,1760000,
-3.8068,-5.7504,-5.2899,1765000,
-3.7885,-5.7239,-5.2872,1770000,
-3.7967,-5.7394,-5.2963,1775000,
-3.7930,-5.7422,-5.2890,1780000,
-3.7592,-5.7477,-5.2844,1785000,
-3.7683,-5.7385,-5.2890,1790000,
-3.7500,-5.7513,-5.2734,1795000,
-3.7180,-5.7431,-5.2982,1800000,
-4.0265,-5.7367,-5.2808,1805000,
-3.7875,-5.7312,-5.2863,1810000,
-3.8022,-5.7504,-5.2917,1815000,
-3.7656,-5.7477,-5.2835,1820000,
-3.7454,-5.7550,-5.2853,1825000,
-3.8031,-5.7230,-5.2826,1830000,
-3.7692,-5.7065,-5.2908,1835000,
-3.7894,-5.7468,-5.2771,1840000,
-3.7839,-5.7239,-5.2936,1845000,
-3.8095,-5.7642,-5.2844,1850000,
-3.9816,-5.7431,-5.2927,1855000,
-3.8077,-5.7413,-5.2991,1860000,
-3.7793,-5.7413,-5.2808,1865000,
-3.7747,-5.7578,-5.2826,1870000,
-3.7784,-5.7486,-5.2927,1875000,
-3.7775,-5.7431,-5.2936,1880000,
-3.7473,-5.7294,-5.2798,1885000,
-3.7756,-5.7367,-5.2954,1890000,
-3.7949,-5.7495,-5.2963,1895000,
-3.7866,-5.7239,-5.2753,1900000,
-4.0329,-5.7422,-5.2734,1905000,
-3.7418,-5.7394,-5.2826,1910000,
-3.7839,-5.7440,-5.2798,1915000,
-3.7619,-5.7449,-5.2890,1920000,
-3.8058,-5.7458,-5.2844,1925000,
-3.7573,-5.7321,-5.2899,1930000,
-3.7747,-5.7541,-5.2853,1935000,
-3.7610,-5.7468,-5.2853,1940000,
-3.7820,-5.7468,-5.2817,1945000,
-3.7125,-5.7495,-5.2835,1950000,
-4.0384,-5.7449,-5.2789,1955000,
-3.8077,-5.7330,-5.2661,1960000,
-3.8123,-5.7431,-5.2707,1965000,
-3.7592,-5.7495,-5.2844,1970000,
-3.8168,-5.7422,-5.2954,1975000,
-3.7784,-5.7541,-5.2670,1980000,
-3.7939,-5.7568,-5.2945,1985000,
-3.7408,-5.7376,-5.2817,1990000,
-3.7683,-5.7422,-5.2927,1995000,
-3.7656,-5.7321,-5.2853,2000000,
-4.0256,-5.7166,-5.2899,2005000,
-3.7390,-5.7257,-5.2835,2010000,
-3.7958,-5.7458,-5.2908,2015000,
-3.7683,-5.7385,-5.2844,2020000,
-3.7921,-5.7394,-5.2863,2025000,
-3.7903,-5.7376,-5.2899,2030000,
-3.7958,-5.7614,-5.2771,2035000,
-3.7463,-5.7385,-5.2835,2040000,
-3.7546,-5.7477,-5.2872,2045000,
-3.7518,-5.7312,-5.2890,2050000,
-4.0128,-5.7349,-5.2789,2055000,
-3.7619,-5.7458,-5.2808,2060000,
-3.7894,-5.7339,-5.2853,2065000,
-3.7280,-5.7623,-5.2872,2070000,
-3.8196,-5.7468,-5.2844,2075000,
-3.7802,-5.7303,-5.2863,2080000,
-3.7820,-5.7404,-5.2936,2085000,
-3.7582,-5.7404,-5.2982,2090000,
-3.7857,-5.7495,-5.2780,2095000,
-3.7903,-5.7523,-5.2853,2100000,
-4.0192,-5.7294,-5.3036,2105000,
-3.7820,-5.7458,-5.2936,2110000,
-3.8031,-5.7275,-5.3101,2115000,
-3.7253,-5.7349,-5.2835,2120000,
-3.8077,-5.7422,-5.2972,2125000,
-3.7793,-5.7321,-5.2863,2130000,
-3.7436,-5.7312,-5.2753,2135000,
-3.7637,-5.7211,-5.2853,2140000,
-3.7463,-5.7349,-5.2954,2145000,
-3.7775,-5.7385,-5.2899,2150000,
-4.0009,-5.7312,-5.2972,2155000,
-3.7610,-5.7523,-5.2835,2160000,
-3.7326,-5.7587,-5.2899,2165000,
-3.7518,-5.7440,-5.2972,2170000,
-3.7848,-5.7458,-5.2753,2175000,
-3.7967,-5.7413,-5.2826,2180000,
-3.7747,-5.7495,-5.2954,2185000,
-3.7738,-5.7349,-5.2826,2190000,
-3.7637,-5.7587,-5.2945,2195000,
-3.8040,-5.7285,-5.2963,2200000,
-4.0594,-5.7513,-5.2899,2205000,
-3.7994,-5.7449,-5.2844,2210000,
-3.7930,-5.7431,-5.2835,2215000,
-3.7738,-5.7394,-5.2780,2220000,
-3.8205,-5.7257,-5.2826,2225000,
-3.7811,-5.7312,-5.2917,2230000,
-3.7573,-5.7367,-5.2817,2235000,
-3.7454,-5.7294,-5.2826,2240000,
-3.7390,-5.7413,-5.2963,2245000,
-3.7610,-5.7312,-5.2863,2250000,
-4.0237,-5.7623,-5.2826,2255000,
-3.8077,-5.7413,-5.2844,2260000,
-3.7527,-5.7449,-5.2808,2265000,
-3.7427,-5.7486,-5.2881,2270000,
-3.7711,-5.7587,-5.2780,2275000,
-3.7820,-5.7440,-5.3073,2280000,
-3.7967,-5.7422,-5.2890,2285000,
-3.7637,-5.7285,-5.2798,2290000,
-3.7427,-5.7458,-5.2991,2295000,
-3.7537,-5.7394,-5.3009,2300000,
-4.0421,-5.7550,-5.2817,2305000,
-3.8159,-5.7339,-5.2991,2310000,
-3.7582,-5.7431,-5.2798,2315000,
-3.7912,-5.7449,-5.2817,2320000,
-3.7976,-5.7257,-5.2917,2325000,
-3.7381,-5.7632,-5.2835,2330000,
-3.7674,-5.7559,-5.2890,2335000,
-3.8049,-5.7468,-5.2908,2340000,
-3.7564,-5.7367,-5.2863,2345000,
-3.7289,-5.7523,-5.2963,2350000,
-4.0521,-5.7440,-5.2908,2355000,
-3.7784,-5.7477,-5.2753,2360000,
-3.7793,-5.7385,-5.2972,2365000,
-3.8306,-5.7468,-5.2972,2370000,
-3.7784,-5.7532,-5.2789,2375000,
-3.7537,-5.7303,-5.2771,2380000,
-3.7848,-5.7550,-5.2853,2385000,
-3.7436,-5.7285,-5.2899,2390000,
-3.7830,-5.7477,-5.3000,2395000,
-3.7738,-5.7440,-5.3009,2400000,
-4.0146,-5.7312,-5.3027,2405000,
-3.7830,-5.7458,-5.3018,2410000,
-3.7619,-5.7285,-5.2707,2415000,
-3.7491,-5.7303,-5.2853,2420000,
-3.7289,-5.7468,-5.2881,2425000,
-3.7994,-5.7477,-5.2817,2430000,
-3.7500,-5.7431,-5.2927,2435000,
-3.7372,-5.7367,-5.2945,2440000,
-3.7518,-5.7449,-5.2817,2445000,
-3.7408,-5.7349,-5.2899,2450000,
-4.0512,-5.7339,-5.2789,2455000,
-3.8086,-5.7385,-5.2835,2460000,
-3.7308,-5.7523,-5.2835,2465000,
-3.8159,-5.7449,-5.2844,2470000,
-3.7793,-5.7404,-5.2716,2475000,
-3.7720,-5.7349,-5.2853,2480000,
-3.7628,-5.7376,-5.2899,2485000,
-3.7436,-5.7468,-5.2908,2490000,
-3.7527,-5.7605,-5.2963,2495000,
-3.8077,-5.7477,-5.2762,2500000,
-4.0210,-5.7404,-5.2771,2505000,
-3.7976,-5.7394,-5.2808,2510000,
-3.7601,-5.7449,-5.2890,2515000,
-3.8141,-5.7486,-5.2817,2520000,
-3.7903,-5.7248,-5.2881,2525000,
-3.7930,-5.7614,-5.2689,2530000,
-3.8068,-5.7513,-5.2817,2535000,
-3.7701,-5.7321,-5.2991,2540000,
-3.7582,-5.7111,-5.2771,2545000,
-3.7894,-5.7193,-5.2954,2550000,
-3.9862,-5.7358,-5.2734,2555000,
-3.7839,-5.6607,-5.4218,2565000,
-3.9185,-5.7880,-5.2698,2570000,
-3.7527,-5.7440,-5.2625,2575000,
-3.7921,-5.7376,-5.2908,2580000,
-3.7793,-5.7047,-5.2844,2585000,
-3.7646,-5.7074,-5.2863,2590000,
-3.7903,-5.7211,-5.2780,2595000,
-3.8672,-5.7220,-5.3009,2600000,
-3.9661,-5.7376,-5.2808,2605000,
-3.7646,-5.7211,-5.2844,2610000,
-3.8498,-5.7303,-5.2844,2615000,
-3.7619,-5.7504,-5.2771,2620000,
-3.8058,-5.7349,-5.2753,2625000,
-3.7601,-5.7376,-5.2954,2630000,
-3.7317,-5.7486,-5.2780,2635000,
-3.8095,-5.7486,-5.2881,2640000,
-3.7354,-5.7449,-5.2863,2645000,
-3.7903,-5.7394,-5.2963,2650000,
-4.0732,-5.7358,-5.2936,2655000,
-3.7491,-5.7504,-5.2936,2660000,
-3.8132,-5.7651,-5.2972,2665000,
-3.8168,-5.7578,-5.2789,2670000,
-3.7894,-5.7486,-5.2945,2675000,
-3.7619,-5.7486,-5.2890,2680000,
-3.8104,-5.7376,-5.2899,2685000,
-3.7967,-5.7486,-5.2908,2690000,
-3.7482,-5.7632,-5.2908,2695000,
-3.8214,-5.7486,-5.2817,2700000,
-4.0009,-5.7587,-5.2917,2705000,
-3.7582,-5.7394,-5.2881,2710000,
-3.7555,-5.7477,-5.2963,2715000,
-3.7894,-5.7660,-5.2817,2720000,
-3.7601,-5.7312,-5.2954,2725000,
-3.7729,-5.7614,-5.2789,2730000,
-3.8150,-5.7550,-5.2899,2735000,
-3.7820,-5.7404,-5.2927,2740000,
-3.7848,-5.7568,-5.2826,2745000,
-3.8187,-5.7339,-5.3009,2750000,
-4.0182,-5.7523,-5.2872,2755000,
-3.8150,-5.7605,-5.2890,2760000,
-3.8132,-5.7523,-5.2762,2765000,
-3.7793,-5.7513,-5.2908,2770000,
-3.7418,-5.7330,-5.2872,2775000,
-3.7418,-5.7394,-5.2744,2780000,
-3.7903,-5.7349,-5.2945,2785000,
-3.7573,-5.7394,-5.2707,2790000,
-3.7738,-5.7413,-5.2945,2795000,
-3.7720,-5.7404,-5.2826,2800000,
-4.0393,-5.7495,-5.2936,2805000,
-3.7738,-5.7413,-5.2872,2810000,
-3.7271,-5.7385,-5.3000,2815000,
-3.7958,-5.7101,-5.2826,2820000,
-3.7408,-5.7495,-5.2927,2825000,
-3.8022,-5.7404,-5.2972,2830000,
-3.7903,-5.7385,-5.2853,2835000,
-3.7866,-5.7449,-5.3055,2840000,
-3.7445,-5.7559,-5.2899,2845000,
-3.8086,-5.7513,-5.2899,2850000,
-4.0128,-5.7568,-5.2872,2855000,
-3.7665,-5.7404,-5.3018,2860000,
-3.7802,-5.7523,-5.2863,2865000,
-3.7573,-5.7404,-5.2954,2870000,
-3.7976,-5.7532,-5.2863,2875000,
-3.8022,-5.7330,-5.2872,2880000,
-3.8068,-5.7367,-5.2817,2885000,
-3.7967,-5.7477,-5.2716,2890000,
-3.7738,-5.7742,-5.3046,2895000,
-3.7967,-5.7495,-5.2844,2900000,
-4.0567,-5.7422,-5.2789,2905000,
-3.7390,-5.7486,-5.2881,2910000,
-3.7445,-5.7550,-5.2908,2915000,
-3.7958,-5.7404,-5.2844,2920000,
-3.7619,-5.7541,-5.2872,2925000,
-3.8013,-5.7468,-5.2817,2930000,
-3.7701,-5.7303,-5.2972,2935000,
-3.7894,-5.7523,-5.2927,2940000,
-3.7628,-5.7495,-5.2817,2945000,
-3.7482,-5.7477,-5.2881,2950000,
-4.0366,-5.7660,-5.2798,2955000,
-3.8040,-5.7541,-5.2963,2960000,
-3.8251,-5.7541,-5.2881,2965000,
-3.7766,-5.7358,-5.2982,2970000,
-3.7903,-5.7385,-5.2890,2975000,
-3.7830,-5.7175,-5.2890,2980000,
-3.7894,-5.7367,-5.2927,2985000,
-3.8315,-5.7495,-5.2917,2990000,
-3.8022,-5.7449,-5.2881,2995000,
-3.8040,-5.7477,-5.2890,3000000,
-4.0164,-5.7449,-5.2927,3005000,
-3.8168,-5.7449,-5.2881,3010000,
-3.7903,-5.7275,-5.2753,3015000,
-3.7601,-5.7404,-5.2744,3020000,
-3.7875,-5.7642,-5.2954,3025000,
-3.8040,-5.7733,-5.2597,3030000,
-3.8141,-5.7761,-5.2936,3035000,
-3.7857,-5.7413,-5.2533,3040000,
-3.7628,-5.7550,-5.2936,3045000,
